Datasets,Related Projects,F1-measure,,AUC,,,,,,,,,,
,,JOMORO,Unsupervised,JOMORO,Unsupervised,,,,,,,,,
AEEEM,EQ,0.574/0.061,0.484/0.005,0.677/0.027,0.408/0.007,,,,,,,,,
,JDT,0.539/0.09,0.243/0.003,0.709/0.052,0.342/0.005,,,,,,,,,
,LC,0.365/0.071,0.15/0.003,0.657/0.054,0.447/0.008,,,,,,,,,
,ML,0.255/0.102,0.182/0.002,0.58/0.046,0.393/0.005,,,,,,,,,
,PDE,0.284/0.1,0.201/0.002,0.592/0.043,0.412/0.005,,,,,,,,,
Avg,,0.403/0.085,0.252/0.003,0.643/0.044,0.4/0.006,,,,,,,,,
MORPH,ant-1.3,0.338/0.137,0.195/0.009,0.606/0.094,0.348/0.018,,,,,,,,,
,arc,0.27/0.111,0.149/0.007,0.574/0.07,0.363/0.017,,,,,,,,,
,camel-1.0,0.185/0.08,0.057/0.004,0.553/0.072,0.394/0.023,,,,,,,,,
,poi-1.5,0.733/0.037,0.699/0.004,0.643/0.047,0.473/0.007,,,,,,,,,
,redaktor,0.36/0.14,0.258/0.007,0.606/0.086,0.491/0.013,,,,,,,,,
,skarbonka,0.327/0.136,0.308/0.021,0.563/0.119,0.467/0.033,,,,,,,,,
,tomcat,0.256/0.102,0.111/0.003,0.595/0.058,0.341/0.009,,,,,,,,,
,velocity,0.858/0.038,0.822/0.004,0.661/0.075,0.506/0.009,,,,,,,,,
,xalan-2.4,0.279/0.106,0.204/0.004,0.585/0.045,0.385/0.008,,,,,,,,,
,xerces-1.2,0.138/0.059,0.248/0.005,0.517/0.019,0.45/0.009,,,,,,,,,
Avg,,0.375/0.095,0.305/0.007,0.59/0.069,0.422/0.015,,,,,,,,,
Relink,Apache,0.617/0.052,0.615/0.006,0.643/0.068,0.454/0.008,,,,,,,,,
,Safe,0.545/0.141,0.459/0.006,0.648/0.092,0.379/0.008,,,,,,,,,
,Zxing,0.225/0.109,0.411/0.004,0.528/0.025,0.45/0.006,,,,,,,,,
Avg,,0.462/0.101,0.495/0.005,0.606/0.062,0.428/0.007,,,,,,,,,
Softlab,ar1,0.207/0.086,0.106/0.009,0.544/0.063,0.388/0.032,,,,,,,,,
,ar3,0.482/0.153,0.122/0.016,0.654/0.139,0.263/0.037,,,,,,,,,
,ar4,0.416/0.172,0.209/0.009,0.618/0.1,0.318/0.016,,,,,,,,,
,ar5,0.591/0.168,0.242/0.024,0.69/0.163,0.313/0.038,,,,,,,,,
,ar6,0.302/0.099,0.226/0.012,0.574/0.067,0.439/0.022,,,,,,,,,
Avg,,0.4/0.136,0.181/0.014,0.616/0.106,0.344/0.029,,,,,,,,,
Total Avg,,0.398/0.102,0.291/0.007,0.61/0.071,0.401/0.015,,,,,,,,,
,,,,,,,,,,,,,,
